#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 369927:9016 | 07/01/23 12:26:50 | 340  | 340  | 3.269543091    | 3.221414222   |
| 369943:9017 | 07/01/23 19:31:57 | 384  | 384  | 30.001757413   | 29.335067702  |
| 369956:9019 | 07/02/23 03:24:03 | 1040 | 1040 | 90.407079271   | 88.190012115  |
| 369978:9022 | 07/02/23 16:21:51 | 782  | 782  | 173.255778269  | 166.788109311 |
| 369998:9023 | 07/03/23 00:31:01 | 179  | 179  | 59.800183716   | 55.217949794  |
| 369999:9023 | 07/03/23 01:42:38 | 41   | 41   | 16.304278227   | 14.803330960  |
| 370093:9029 | 07/03/23 23:52:21 | 450  | 450  | 159.620851784  | 152.450114553 |
| 370097:9029 | 07/04/23 05:14:28 | 356  | 356  | 136.677959624  | 129.227887817 |
| 370102:9029 | 07/04/23 07:48:17 | 762  | 762  | 212.587140932  | 205.006851006 |
| 370129:9031 | 07/04/23 16:57:20 | 510  | 510  | 215.042495540  | 205.785124461 |
| 370144:9031 | 07/04/23 21:36:05 | 1328 | 1328 | 406.429161340  | 391.834686491 |
| 370169:9035 | 07/05/23 11:04:40 | 1294 | 1294 | 527.435451208  | 494.995185776 |
| 370172:9035 | 07/05/23 21:07:28 | 300  | 300  | 80.313009094   | 75.691765406  |
| 370175:9036 | 07/06/23 01:38:22 | 1690 | 1690 | 717.992657446  | 684.128026530 |
| 370293:9043 | 07/07/23 11:09:51 | 1580 | 1580 | 683.748823733  | 651.227916827 |
| 370294:9043 | 07/07/23 21:26:42 | 668  | 668  | 182.662594037  | 176.074950333 |
| 370300:9044 | 07/08/23 04:08:22 | 962  | 962  | 444.691353949  | 423.261188939 |
| 370304:9044 | 07/08/23 10:50:38 | 327  | 327  | 126.850789170  | 120.790984890 |
| 370307:9044 | 07/08/23 13:04:05 | 708  | 708  | 211.223913617  | 203.834408156 |
| 370321:9045 | 07/08/23 19:41:08 | 14   | 14   | 1.884129035    | 1.703717161   |
| 370332:9045 | 07/08/23 20:20:38 | 1966 | 1966 | 753.888358742  | 717.563154124 |
| 370340:9046 | 07/09/23 10:57:13 | 756  | 756  | 352.769857373  | 334.021262488 |
| 370354:9049 | 07/09/23 19:08:47 | 278  | 278  | 118.085439943  | 113.435716395 |
| 370357:9049 | 07/09/23 22:29:47 | 801  | 801  | 336.665164996  | 323.184998279 |
| 370406:9050 | 07/10/23 12:29:29 | 825  | 825  | 372.652097073  | 354.597935634 |
| 370436:9050 | 07/10/23 17:55:30 | 31   | 31   | 11.444544351   | 10.621807666  |
| 370460:9055 | 07/11/23 03:20:19 | 116  | 116  | 34.561000009   | 33.210161278  |
| 370472:9056 | 07/11/23 07:22:18 | 42   | 42   | 9.908432855    | 9.771441646   |
| 370497:9057 | 07/11/23 09:38:34 | 1429 | 1429 | 607.734226488  | 578.802382031 |
| 370522:9059 | 07/11/23 23:55:53 | 322  | 322  | 140.253049654  | 133.665493899 |
| 370560:9062 | 07/12/23 12:37:34 | 348  | 348  | 153.174142327  | 146.562416899 |
| 370579:9063 | 07/12/23 17:39:39 | 85   | 85   | 25.707279320   | 24.655761792  |
| 370580:9063 | 07/12/23 18:17:16 | 2875 | 2875 | 966.659310293  | 920.510303027 |
| 370667:9066 | 07/14/23 08:10:37 | 101  | 101  | 40.469781588   | 37.785902591  |
| 370717:9067 | 07/15/23 01:10:34 | 119  | 119  | 38.234666515   | 36.525275762  |
| 370725:9068 | 07/15/23 05:13:53 | 407  | 407  | 181.296098676  | 171.396103777 |
| 370749:9070 | 07/15/23 17:21:13 | 1484 | 1484 | 658.664011973  | 627.330375797 |
| 370753:9070 | 07/16/23 03:18:43 | 249  | 249  | 77.767344830   | 75.000827747  |
| 370772:9072 | 07/16/23 07:59:39 | 1219 | 1219 | 572.692406768  | 544.246337975 |
| 370774:9072 | 07/16/23 16:07:34 | 159  | 159  | 61.213218839   | 56.310573212  |
| 370775:9072 | 07/16/23 17:11:41 | 168  | 168  | 58.824514240   | 54.542550730  |
| 370776:9072 | 07/16/23 18:19:32 | 326  | 326  | 100.211497774  | 96.389143956  |
| 370790:9073 | 07/16/23 22:51:10 | 23   | 23   | 3.441681680    | 3.039346565   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 27    | 43   | 27844 | 27844 | 10156.517076802   | 9676.737965721   |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
