#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 367095:8728 | 05/06/23 11:29:02 | 564  | 564  | 116.883247102  | 110.171875477 |
| 367100:8729 | 05/06/23 18:09:21 | 346  | 346  | 69.725877571   | 65.526259650  |
| 367102:8729 | 05/06/23 20:28:48 | 75   | 75   | 16.405627737   | 15.187518388  |
| 367103:8729 | 05/06/23 21:02:02 | 64   | 64   | 14.067564542   | 12.882763765  |
| 367104:8729 | 05/06/23 21:31:30 | 1082 | 1082 | 192.232382193  | 184.289842312 |
| 367111:8730 | 05/07/23 07:24:23 | 288  | 288  | 56.010494033   | 51.887679577  |
| 367112:8730 | 05/07/23 09:19:36 | 1438 | 1438 | 256.673563340  | 245.232203610 |
| 367127:8731 | 05/07/23 20:42:33 | 333  | 333  | 99.734729548   | 92.910704859  |
| 367128:8731 | 05/07/23 22:54:20 | 7    | 7    | 2.420474813    | 2.159831282   |
| 367129:8731 | 05/07/23 23:01:54 | 3    | 3    | 1.019310890    | 0.975457348   |
| 367130:8731 | 05/07/23 23:05:47 | 153  | 153  | 43.362509528   | 41.028317610  |
| 367131:8731 | 05/08/23 00:12:34 | 149  | 149  | 39.767130782   | 38.008306718  |
| 367133:8731 | 05/08/23 01:12:46 | 275  | 275  | 83.468828032   | 80.092046237  |
| 367228:8736 | 05/08/23 21:46:35 | 239  | 239  | 58.405420030   | 54.915347426  |
| 367229:8736 | 05/08/23 23:25:47 | 34   | 34   | 11.648891054   | 10.897559842  |
| 367230:8736 | 05/08/23 23:44:57 | 1    | 1    | 0.335977030    | 0.301488211   |
| 367231:8736 | 05/08/23 23:48:31 | 22   | 22   | 7.541358436    | 6.913092248   |
| 367232:8736 | 05/08/23 23:59:29 | 996  | 996  | 323.680607343  | 309.857848828 |
| 367234:8736 | 05/09/23 06:33:08 | 501  | 501  | 130.322670089  | 125.751165246 |
| 367260:8738 | 05/09/23 16:06:48 | 187  | 187  | 52.330358492   | 49.707530208  |
| 367262:8738 | 05/09/23 17:32:02 | 262  | 262  | 89.593040351   | 83.492648984  |
| 367263:8738 | 05/09/23 19:23:59 | 12   | 12   | 4.056192061    | 3.420833859   |
| 367264:8738 | 05/09/23 19:31:14 | 847  | 847  | 229.657019434  | 218.953398461 |
| 367267:8739 | 05/10/23 03:37:29 | 278  | 278  | 66.242896948   | 61.926286108  |
| 367269:8739 | 05/10/23 05:33:29 | 33   | 33   | 11.242439373   | 9.490567663   |
| 367270:8739 | 05/10/23 05:48:56 | 961  | 961  | 288.110739008  | 273.164888945 |
| 367271:8739 | 05/10/23 12:08:10 | 135  | 135  | 30.576981364   | 29.340572108  |
| 367312:8741 | 05/10/23 19:23:55 | 216  | 216  | 45.472716440   | 42.630218873  |
| 367314:8741 | 05/10/23 20:55:00 | 20   | 20   | 6.857539217    | 6.277161317   |
| 367315:8741 | 05/10/23 21:11:42 | 893  | 893  | 258.553731467  | 247.460492642 |
| 367334:8746 | 05/11/23 09:40:36 | 299  | 299  | 92.205871705   | 84.799795567  |
| 367336:8746 | 05/11/23 11:40:58 | 169  | 169  | 66.415947298   | 63.212318588  |
| 367337:8746 | 05/11/23 12:49:42 | 1046 | 1046 | 298.584935433  | 287.434661976 |
| 367355:8750 | 05/12/23 01:30:34 | 4    | 4    | 0.945487499    | 0.812009440   |
| 367406:8754 | 05/12/23 14:38:10 | 429  | 429  | 160.749159161  | 151.138077785 |
| 367413:8754 | 05/12/23 18:13:16 | 1294 | 1294 | 428.832648595  | 404.715350119 |
| 367415:8754 | 05/13/23 02:52:02 | 97   | 97   | 22.721463580   | 21.993695917  |
